win,lose,probability
Cleveland Cavaliers,Charlotte Hornets,0.8146210335411529
Houston Rockets,Dallas Mavericks,0.5645367181701544
Indiana Pacers,Portland Trail Blazers,0.5124416414110734
Los Angeles Clippers,New Orleans Pelicans,0.8524025212262367
Golden State Warriors,Memphis Grizzlies,0.8480277926199438
Orlando Magic,Denver Nuggets,0.6022980679181542
San Antonio Spurs,Brooklyn Nets,0.9722945247335083
Utah Jazz,Sacramento Kings,0.6690324818994352
Washington Wizards,Milwaukee Bucks,0.7164939027675794
Detroit Pistons,Philadelphia 76ers,0.9056048374180425
New York Knicks,Los Angeles Lakers,0.7600389039365694
Golden State Warriors,Minnesota Timberwolves,0.8766125852764666
Oklahoma City Thunder,Boston Celtics,0.8060402289255942
New Orleans Pelicans,Phoenix Suns,0.6229755531091715
Dallas Mavericks,Denver Nuggets,0.6894878904579694
Houston Rockets,Brooklyn Nets,0.8292782869575829
Indiana Pacers,Charlotte Hornets,0.5846721085577304
Los Angeles Clippers,Portland Trail Blazers,0.612364394795698
Miami Heat,Washington Wizards,0.6967572250562925
Sacramento Kings,Los Angeles Lakers,0.7186873071669295
Toronto Raptors,Milwaukee Bucks,0.8713216353796783
Atlanta Hawks,Orlando Magic,0.7842627918873759
Chicago Bulls,Minnesota Timberwolves,0.6757486963217634
Cleveland Cavaliers,Memphis Grizzlies,0.8871499652807164
Golden State Warriors,New Orleans Pelicans,0.8992315333731837
New York Knicks,Phoenix Suns,0.653769732531933
Oklahoma City Thunder,Portland Trail Blazers,0.5696137914943262
Los Angeles Lakers,Brooklyn Nets,0.5256296545346097
Dallas Mavericks,Detroit Pistons,0.5483621659529614
Houston Rockets,Sacramento Kings,0.681087003658746
Cleveland Cavaliers,Memphis Grizzlies,0.7898057229530306
Miami Heat,Indiana Pacers,0.652703789034717
Los Angeles Clippers,Orlando Magic,0.6811486632450346
Toronto Raptors,Philadelphia 76ers,0.951362236275893
San Antonio Spurs,Boston Celtics,0.8723344174417554
Oklahoma City Thunder,Utah Jazz,0.6785418286275422
Charlotte Hornets,Washington Wizards,0.5089297928679415
Portland Trail Blazers,Denver Nuggets,0.7229050756602224
Golden State Warriors,New York Knicks,0.9590145422659986
Chicago Bulls,Milwaukee Bucks,0.6243980931033863
Indiana Pacers,New Orleans Pelicans,0.6905888101813087
San Antonio Spurs,Phoenix Suns,0.9217859527718197
Boston Celtics,Charlotte Hornets,0.6362295815038792
Chicago Bulls,Milwaukee Bucks,0.6816677513766324
Houston Rockets,New Orleans Pelicans,0.7285576496109551
Memphis Grizzlies,Sacramento Kings,0.5710659492227421
Miami Heat,Los Angeles Clippers,0.5561383923274281
Orlando Magic,Brooklyn Nets,0.7479503126660112
Los Angeles Lakers,Philadelphia 76ers,0.714147950155434
Toronto Raptors,Atlanta Hawks,0.7309944846468768
Utah Jazz,Dallas Mavericks,0.550981115857114
Washington Wizards,Detroit Pistons,0.5708332670797592
Atlanta Hawks,Charlotte Hornets,0.6433814641417135
Cleveland Cavaliers,Los Angeles Lakers,0.9550987809858879
Denver Nuggets,New York Knicks,0.5508081712630339
Detroit Pistons,Indiana Pacers,0.5681711664984941
Golden State Warriors,Portland Trail Blazers,0.8797256345058798
Houston Rockets,Minnesota Timberwolves,0.6180621775379017
Oklahoma City Thunder,Phoenix Suns,0.9410255916322835
Dallas Mavericks,Sacramento Kings,0.656703397577921
Utah Jazz,Memphis Grizzlies,0.5594284306284305
Miami Heat,Boston Celtics,0.6073055505223526
Toronto Raptors,Orlando Magic,0.7291759506365731
Brooklyn Nets,Philadelphia 76ers,0.7099906433829324
San Antonio Spurs,New Orleans Pelicans,0.9509594875970804
Los Angeles Clippers,Washington Wizards,0.5708163733433069
Chicago Bulls,Detroit Pistons,0.5298550149167589
Dallas Mavericks,Denver Nuggets,0.5963625167223761
Indiana Pacers,Washington Wizards,0.6679487463299708
Minnesota Timberwolves,Phoenix Suns,0.6400415025573766
Oklahoma City Thunder,Atlanta Hawks,0.8195474859488786
Charlotte Hornets,Los Angeles Lakers,0.8909163844998739
Golden State Warriors,Utah Jazz,0.9263926537527296
San Antonio Spurs,Houston Rockets,0.7265819934310689
Los Angeles Clippers,Denver Nuggets,0.8421234672280135
Boston Celtics,Memphis Grizzlies,0.6290910311570079
Miami Heat,Orlando Magic,0.7641514404824822
Cleveland Cavaliers,Milwaukee Bucks,0.8400243148869082
Indiana Pacers,New York Knicks,0.6868387693980695
New Orleans Pelicans,Philadelphia 76ers,0.8158594231724983
Portland Trail Blazers,Sacramento Kings,0.717333990053399
Toronto Raptors,Brooklyn Nets,0.927381296932463
Atlanta Hawks,Minnesota Timberwolves,0.8213889019374823
Chicago Bulls,Washington Wizards,0.5388035329327691
Cleveland Cavaliers,Milwaukee Bucks,0.9200612770952696
